number,x,y,z,qx,qy,qz,qw,attributes
86,3.10078287125,-12.1428461075,0.293232858181,0.00408514505528,-0.00315551455585,-0.68823521463,0.725469257557,
87,3.14270806313,-13.1951112747,0.292691498995,0.00624088905367,-0.00474207523817,-0.684986422849,0.728513668052,
88,3.17459440231,-14.2565908432,0.264337450266,0.00730802276004,-0.00400500842254,-0.730957640254,0.682371951991,
89,3.017162323,-15.2502174377,0.224921703339,0.00599355438184,-0.00428422674758,-0.752608499244,0.658427041951,
90,2.87088918686,-16.2718257904,0.22188025713,0.00703820628319,-0.00612385659091,-0.732800434107,0.680379662986,
91,2.80873799324,-17.2893161774,0.207341596484,0.00577954929771,-0.00338946370964,-0.707571378558,0.706610113565,
92,2.84019184113,-18.3347511292,0.172232374549,0.00711269637247,-0.00297543805166,-0.700512423212,0.713598557484,
93,2.8409986496,-19.3923740387,0.107015348971,0.00536672745214,-0.00103267000585,-0.6955526968,0.718454297644,
94,2.86638259888,-20.5340709686,0.12410672754,0.00744882485357,-0.00498962297452,-0.690936257579,0.722860087869,
95,2.9091322422,-21.5810947418,0.0623046606779,0.00645749380764,-0.00477693830013,-0.685180895163,0.728328650088,
96,2.96204590797,-22.6776237488,0.0465565621853,0.00520810609845,-0.00034162863686,-0.687285474854,0.726368663266,
97,3.00334835052,-23.6903781891,0.0252638757229,0.00590840588535,-0.000488253456162,-0.694732054221,0.719244204139,
98,3.03462195396,-24.6939182281,0.0735150948167,0.0036074796061,-0.00490857987204,-0.697830675253,0.71623686069,
99,3.06139183044,-25.7746105194,0.0360618047416,0.0065588198265,-0.00245791342249,-0.676969350143,0.73597787977,
100,3.14673352242,-26.8169250488,-0.0048997332342,0.00297011289485,-0.00181981730589,-0.670088298266,0.742273224104,
101,3.22320485115,-27.8496665955,-0.0380981601775,-0.000534931342128,-0.00200417239879,-0.691853595051,0.722034833063,
102,3.18956279755,-28.8831939697,-0.0265168920159,0.000288247022297,-0.00257040608464,-0.721833411641,0.692062017282,
103,3.06660962105,-29.9596290588,-0.0917538180947,-6.39205644935E-05,0.000154361539485,-0.691448210411,0.722426013102,
104,3.13603496552,-30.9670619965,-0.0599398501217,-0.00288091921986,0.000768507000806,-0.705257421554,0.708945046562,
